long,smiles
2-Pyr003,O=C(c1cccc(Cl)n1)[B-](F)(F)F
2-Pyr006,O=C(c1ccc(Br)cn1)[B-](F)(F)F
2-Pyr007,O=C(c1cccc(F)n1)[B-](F)(F)F
2-Pyr008,O=C(c1ccc(F)cn1)[B-](F)(F)F
2-Pyr009,COc1ccc(C(=O)[B-](F)(F)F)nc1
2-Pyr010,COc1cccc(C(=O)[B-](F)(F)F)n1
2-Thio001,O=C(c1cccs1)[B-](F)(F)F
3-Fur001,O=C(c1ccoc1)[B-](F)(F)F
3-Pyr002,O=C(c1ccc(Br)nc1)[B-](F)(F)F
3-Pyr003,O=C(c1cccnc1)[B-](F)(F)F
3-Pyr004,CN(C)c1ccc(C(=O)[B-](F)(F)F)cn1
3-Thio001,O=C(c1ccsc1)[B-](F)(F)F
4-Pym001,COc1cc(C(=O)[B-](F)(F)F)ncn1
4-Pyr002,O=C(c1ccnc(Cl)c1)[B-](F)(F)F
4-Pyrazole001,O=C(c1cn[nH]c1)[B-](F)(F)F
5-Quin001,O=C(c1cccc2ncccc12)[B-](F)(F)F
6-Quin001,O=C(c1ccc2ncccc2c1)[B-](F)(F)F
8-Quin003,COc1ccnc2c(C(=O)[B-](F)(F)F)cccc12
8-Quin004,O=C(c1cccc2c(OCc3ccccc3)ccnc12)[B-](F)(F)F
8-Quin005,O=C(c1ccc(Br)c2cccnc12)[B-](F)(F)F
8-Quin008,CCOC(=O)c1ccc(C(=O)[B-](F)(F)F)c2ncccc12
Al001,O=C(Cc1ccccc1)[B-](F)(F)F
Al002,O=C(CCCc1ccccc1)[B-](F)(F)F
Al003,O=C(C1CCCCC1)[B-](F)(F)F
Al004,CC(C)(C)C(=O)[B-](F)(F)F
Al005,CCCCC(=O)[B-](F)(F)F
Al007,CC(C)C(=O)[B-](F)(F)F
Al013,CCCCCCCCC(=O)[B-](F)(F)F
Al036,O=C(Cc1ccc(Cl)cc1)[B-](F)(F)F
Al038,CC(C(=O)[B-](F)(F)F)c1ccccc1
BiAl007,O=C(NCCCCC(=O)[B-](F)(F)F)OCc1ccccc1
BiAl008,COC(=O)NCCCCC(=O)[B-](F)(F)F
BiAl009,C[Si](C)(C)C#CCCCC(=O)[B-](F)(F)F
BiPh001,C#CCCC1(CCOc2cccc(C(=O)[B-](F)(F)F)c2)N=N1
BiPh002,C#Cc1ccc(C(=O)[B-](F)(F)F)cc1
BiPh004,O=C(c1ccc(OCCCCl)cc1)[B-](F)(F)F
BiPh006,C[Si](C)(C)C#Cc1ccc(C(=O)[B-](F)(F)F)cc1
BiPh007,O=C(O)c1ccc(C(=O)[B-](F)(F)F)cc1
BiPh010,O=C(c1cccc(OCCCCl)c1)[B-](F)(F)F
BiPh011,[N-]=[N+]=NCCCOc1ccc(C(=O)[B-](F)(F)F)cc1
BiPyr001,[N-]=[N+]=NCCCCOc1ccc(C(=O)[B-](F)(F)F)nc1
BiPyr004,C=Cc1ccnc(C(=O)[B-](F)(F)F)c1
Ph001,O=C(c1ccccc1)[B-](F)(F)F
Ph002,O=C(c1ccc(F)cc1)[B-](F)(F)F
Ph005,O=C(c1ccc(C(F)(F)F)cc1)[B-](F)(F)F
Ph006,CN(C)c1cccc(C(=O)[B-](F)(F)F)c1
Ph007,COc1ccc(C(=O)[B-](F)(F)F)c(OC)c1
Ph009,O=C(c1cccc2ccccc12)[B-](F)(F)F
Ph010,Cc1ccccc1C(=O)[B-](F)(F)F
Ph013,CC(C)(C)OC(=O)Nc1ccc(C(=O)[B-](F)(F)F)cc1
Ph017,Cc1cccc(C(=O)[B-](F)(F)F)c1
Ph018,CN(C)Cc1ccc(C(=O)[B-](F)(F)F)cc1
Ph020,CCOC(=O)c1ccc(C(=O)[B-](F)(F)F)cc1
Ph021,O=C(c1ccc(F)c(F)c1)[B-](F)(F)F
Ph022,O=C(c1cc(F)c(F)c(F)c1)[B-](F)(F)F
Ph023,O=C(c1ccc(Cl)cc1)[B-](F)(F)F
Ph024,O=C(c1ccc(Br)cc1)[B-](F)(F)F
Ph025,O=C(c1ccc(I)cc1)[B-](F)(F)F
Ph026,CCOC(=O)c1cccc(C(=O)[B-](F)(F)F)c1
Ph027,COc1ccc(C(=O)[B-](F)(F)F)cc1OC
Ph028,COc1ccc(C(=O)[B-](F)(F)F)cc1
Ph030,N#Cc1ccc(C(=O)[B-](F)(F)F)cc1
Ph031,O=C(c1ccc(C2=NCCO2)cc1)[B-](F)(F)F
Ph033,O=C(c1ccc2c(c1)OCO2)[B-](F)(F)F
Ph034,Cc1ccc(C(=O)[B-](F)(F)F)cc1
Pyrazine001,O=C(c1cnccn1)[B-](F)(F)F
Pyrazine002,O=C(c1cnc(Br)cn1)[B-](F)(F)F
